FirstToken,Checkpoint,GermanLogprob,EnglishLogprob,GermanLogprobAblated,EnglishLogprobAblated
512,0,-11.685819625854492,-10.796684265136719,-11.68179702758789,-10.795948028564453
8215,0,-11.116777420043945,-11.26926326751709,-11.110222816467285,-11.27092456817627
4151,0,-11.05727481842041,-10.609699249267578,-11.061528205871582,-10.59677505493164
67,0,-11.792299270629883,-10.527846336364746,-11.792563438415527,-10.53146743774414
77,0,-10.561654090881348,-10.260428428649902,-10.558639526367188,-10.260246276855469
588,0,-11.193459510803223,-10.66678237915039,-11.19481372833252,-10.666483879089355
594,0,-10.673701286315918,-11.255242347717285,-10.659852981567383,-11.258432388305664
4200,0,-11.387219429016113,-11.43993091583252,-11.382515907287598,-11.44415283203125
659,0,-10.454301834106445,-11.110569953918457,-10.454381942749023,-11.109698295593262
717,0,-10.406184196472168,-10.86878490447998,-10.41061782836914,-10.882145881652832
246,0,-11.406394004821777,-11.479208946228027,-11.405130386352539,-11.48608112335205
6398,0,-11.913676261901855,-10.813879013061523,-11.907275199890137,-10.81253719329834
271,0,-10.780405044555664,-11.08920669555664,-10.776969909667969,-11.090316772460938
275,0,-11.357739448547363,-10.756174087524414,-11.359603881835938,-10.754128456115723
285,0,-10.490401268005371,-11.154911994934082,-10.49172306060791,-11.15401840209961
287,0,-12.659003257751465,-11.058703422546387,-12.655550003051758,-11.06193733215332
309,0,-11.194519996643066,-10.798567771911621,-11.199604034423828,-10.792205810546875
311,0,-11.454224586486816,-11.470931053161621,-11.45565414428711,-11.472418785095215
312,0,-10.891430854797363,-9.597368240356445,-10.8896484375,-9.59731674194336
320,0,-11.306249618530273,-10.606184959411621,-11.30570125579834,-10.607362747192383
322,0,-9.527688026428223,-10.874299049377441,-9.529251098632812,-10.87467098236084
323,0,-11.191328048706055,-10.872974395751953,-11.192995071411133,-10.871861457824707
359,0,-11.00740909576416,-12.1961030960083,-11.007558822631836,-12.1953706741333
367,0,-11.168155670166016,-11.140268325805664,-11.168806076049805,-11.14027214050293
417,0,-11.2401704788208,-9.96625804901123,-11.245549201965332,-9.96469497680664
430,0,-10.906750679016113,-10.554811477661133,-10.908595085144043,-10.557597160339355
990,0,-9.982975959777832,-11.319402694702148,-9.985475540161133,-11.317265510559082
479,0,-10.683351516723633,-11.277138710021973,-10.689828872680664,-11.283217430114746
512,1,-11.66218090057373,-10.851886749267578,-11.657838821411133,-10.851271629333496
8215,1,-11.080018043518066,-11.261252403259277,-11.07275104522705,-11.263232231140137
4151,1,-11.0779390335083,-10.566396713256836,-11.081696510314941,-10.554046630859375
67,1,-11.7672119140625,-10.522723197937012,-11.767431259155273,-10.526309967041016
77,1,-10.560704231262207,-10.320722579956055,-10.55761432647705,-10.320609092712402
588,1,-11.17657470703125,-10.66439151763916,-11.177817344665527,-10.66447639465332
594,1,-10.736096382141113,-11.237798690795898,-10.722734451293945,-11.24116039276123
4200,1,-11.386018753051758,-11.391633033752441,-11.381281852722168,-11.395801544189453
659,1,-10.47836685180664,-11.154342651367188,-10.478452682495117,-11.153570175170898
717,1,-10.425824165344238,-10.848658561706543,-10.430338859558105,-10.861857414245605
246,1,-11.378110885620117,-11.471540451049805,-11.37663745880127,-11.47927188873291
6398,1,-11.900557518005371,-10.794159889221191,-11.894257545471191,-10.792621612548828
271,1,-10.717958450317383,-11.017813682556152,-10.714630126953125,-11.018831253051758
275,1,-11.328605651855469,-10.806650161743164,-11.330411911010742,-10.80463695526123
285,1,-10.48763370513916,-11.152379989624023,-10.488913536071777,-11.151459693908691
287,1,-12.638755798339844,-11.063840866088867,-12.635205268859863,-11.06705093383789
309,1,-11.153793334960938,-10.731894493103027,-11.15911865234375,-10.725509643554688
311,1,-11.491835594177246,-11.486559867858887,-11.49333667755127,-11.487749099731445
312,1,-10.885415077209473,-9.577435493469238,-10.883697509765625,-9.577428817749023
320,1,-11.302997589111328,-10.59740924835205,-11.302460670471191,-10.598588943481445
322,1,-9.590399742126465,-10.846413612365723,-9.591947555541992,-10.846816062927246
323,1,-11.159489631652832,-10.847878456115723,-11.161239624023438,-10.846824645996094
359,1,-11.025894165039062,-12.126721382141113,-11.025866508483887,-12.1259765625
367,1,-11.137714385986328,-11.173779487609863,-11.138355255126953,-11.173699378967285
417,1,-11.25291919708252,-9.962347984313965,-11.25828742980957,-9.960835456848145
430,1,-10.932978630065918,-10.5847749710083,-10.9346923828125,-10.587441444396973
990,1,-9.958776473999023,-11.289319038391113,-9.961355209350586,-11.287310600280762
479,1,-10.7149658203125,-11.264269828796387,-10.720911979675293,-11.269755363464355
512,2,-11.648428916931152,-10.875974655151367,-11.643888473510742,-10.875235557556152
8215,2,-11.094660758972168,-11.249279975891113,-11.08803939819336,-11.251253128051758
4151,2,-11.046012878417969,-10.623140335083008,-11.049578666687012,-10.610918045043945
67,2,-11.752120971679688,-10.496499061584473,-11.752387046813965,-10.500141143798828
77,2,-10.534132957458496,-10.305512428283691,-10.530792236328125,-10.305329322814941
588,2,-11.204460144042969,-10.652846336364746,-11.205680847167969,-10.652425765991211
594,2,-10.68608283996582,-11.234329223632812,-10.672406196594238,-11.237683296203613
4200,2,-11.34157657623291,-11.428275108337402,-11.336527824401855,-11.432808876037598
659,2,-10.463716506958008,-11.160209655761719,-10.463857650756836,-11.159235954284668
717,2,-10.363898277282715,-10.839186668395996,-10.368465423583984,-10.852911949157715
246,2,-11.409368515014648,-11.483598709106445,-11.407925605773926,-11.490851402282715
