Checkpoint,Type,Logprob
0,German,-11.20242977142334
1,German,-11.20242977142334
2,German,-11.202231407165527
3,German,-11.198945045471191
4,German,-11.15692138671875
5,German,-10.964264869689941
6,German,-9.928285598754883
7,German,-8.952783584594727
8,German,-7.410322666168213
9,German,-8.720841407775879
10,German,-8.66679573059082
11,German,-8.384733200073242
12,German,-2.9473390579223633
13,German,-5.235604286193848
14,German,-2.1394665241241455
15,German,-2.8951833248138428
16,German,-1.7943861484527588
17,German,-1.6517717838287354
18,German,-2.296858787536621
19,German,-1.7942709922790527
20,German,-1.3465969562530518
21,German,-1.3064048290252686
22,German,-3.39204740524292
23,German,-0.4019314646720886
24,German,-1.2428257465362549
25,German,-0.6248619556427002
26,German,-0.6374485492706299
27,German,-0.8358708620071411
28,German,-0.2985047698020935
29,German,-0.558760941028595
30,German,-0.4925766587257385
31,German,-0.349619597196579
32,German,-0.4132753908634186
33,German,-0.5154975056648254
34,German,-0.6766690611839294
35,German,-1.8928382396697998
36,German,-0.28136318922042847
37,German,-0.9867614507675171
38,German,-1.376784086227417
39,German,-0.810080885887146
40,German,-0.5342715382575989
41,German,-1.1493333578109741
42,German,-0.7910723686218262
43,German,-0.8196672201156616
44,German,-1.178465723991394
45,German,-0.5014058947563171
46,German,-1.6137075424194336
47,German,-1.4818203449249268
48,German,-0.27138325572013855
49,German,-3.858351469039917
50,German,-1.4435805082321167
51,German,-0.6320260167121887
52,German,-0.5389059782028198
53,German,-1.129611611366272
54,German,-1.6902034282684326
55,German,-0.7881656885147095
56,German,-3.230269432067871
57,German,-2.542469024658203
58,German,-2.000004768371582
59,German,-1.665341854095459
60,German,-2.050992250442505
61,German,-2.47265625
62,German,-1.7676012516021729
63,German,-0.7930161356925964
64,German,-1.0905953645706177
65,German,-0.2845124304294586
66,German,-0.2840312123298645
67,German,-0.5122203230857849
68,German,-1.3140522241592407
69,German,-0.5846706032752991
70,German,-0.8665086030960083
71,German,-0.8870292901992798
72,German,-1.389913558959961
73,German,-1.7984833717346191
74,German,-1.0003447532653809
75,German,-1.3615838289260864
76,German,-1.3642178773880005
77,German,-1.172652244567871
78,German,-1.5209472179412842
79,German,-0.4149755537509918
80,German,-0.6628797650337219
81,German,-1.3038276433944702
82,German,-1.7884352207183838
83,German,-0.8809291124343872
84,German,-0.8665784597396851
85,German,-1.2539057731628418
86,German,-2.9905450344085693
87,German,-2.0798981189727783
88,German,-0.9252595901489258
89,German,-1.55193030834198
90,German,-0.6093577742576599
91,German,-1.7817177772521973
92,German,-0.9090797901153564
93,German,-2.262444257736206
94,German,-1.9736741781234741
95,German,-0.8959141969680786
96,German,-1.907033920288086
97,German,-1.0751659870147705
98,German,-0.8241041898727417
99,German,-1.207183837890625
100,German,-1.0006115436553955
101,German,-1.11237633228302
102,German,-0.47821658849716187
103,German,-0.49204716086387634
104,German,-0.5073108673095703
105,German,-1.3120055198669434
106,German,-0.7072705626487732
107,German,-1.4877372980117798
108,German,-1.3631271123886108
109,German,-0.8057624101638794
110,German,-0.7283247113227844
111,German,-0.5004688501358032
112,German,-0.8932857513427734
113,German,-1.587387204170227
114,German,-1.2514134645462036
115,German,-2.1932058334350586
116,German,-2.3206779956817627
117,German,-1.4905511140823364
118,German,-0.5398550033569336
119,German,-0.8187850117683411
120,German,-0.8736689686775208
121,German,-2.0820841789245605
122,German,-1.5079388618469238
123,German,-1.8406981229782104
124,German,-2.808547258377075
125,German,-2.4768285751342773
126,German,-2.515063762664795
127,German,-3.702718496322632
128,German,-2.152689218521118
129,German,-2.2139368057250977
130,German,-3.9777491092681885
131,German,-2.0777111053466797
132,German,-0.9245244264602661
133,German,-1.7507529258728027
134,German,-1.3736921548843384
135,German,-1.4189153909683228
136,German,-2.4233896732330322
137,German,-2.7455902099609375
138,German,-0.8458051085472107
139,German,-2.327918291091919
140,German,-1.8496921062469482
141,German,-2.3055179119110107
142,German,-1.29409658908844
0,English,-10.455575942993164
1,English,-10.455575942993164
2,English,-10.453971862792969
3,English,-10.423897743225098
4,English,-10.05278491973877
5,English,-8.834911346435547
6,English,-6.22023344039917
7,English,-5.007479667663574
8,English,-2.5180163383483887
9,English,-3.11380672454834
10,English,-2.828219413757324
