Checkpoint,Original Loss,Total Effect,Direct Effect,Indirect Effect
0,11.028282202052699,-0.00010808773567738683,-3.3172717705198806e-05,-7.480123650438486e-05
1,11.028282202052699,-0.00010808773567738683,-3.3172717705198806e-05,-7.480123650438486e-05
2,11.028080298342912,-0.00010805743685260438,-3.316022838895094e-05,-7.478204936361976e-05
3,11.024329776371834,-0.00010741643045619753,-3.2917293989243035e-05,-7.438440334439633e-05
4,10.974980119178237,-9.84602954314795e-05,-2.976908929852584e-05,-6.857218604139348e-05
5,10.821032512902038,-5.806670072061593e-05,-1.924574915079802e-05,-3.8717293879386716e-05
6,10.560820162004568,9.694598636755813e-06,3.579843987466802e-06,6.12605553129697e-06
7,10.106847042544503,8.286284868930238e-05,2.6350334705327327e-05,5.651041015042324e-05
8,9.455090436410384,5.6047132925840515e-06,-1.3928968158438693e-05,1.9482983827145972e-05
9,7.8588013396533904,0.0001964191318046815,7.198604287861343e-05,0.0001232386025948884
10,5.877574553146388,0.000982789498283232,0.0004908382682948798,0.0004550646736163344
11,4.442469934316208,0.001963152294678139,0.0018109796717835636,0.00013335185006635442
12,3.663275446926407,0.0030213144236146405,0.0013588943690057143,0.0019046071953154886
13,3.4333827683964544,0.0052901056661376344,0.0030041340796684857,0.003235938717494058
14,3.3331486278520708,0.006183430258423606,0.00452641951735977,0.0026606909197317563
15,3.2838801409890976,0.006925990151603667,0.004000477337394059,0.003945528424751821
16,3.2030998930247514,0.006903488105505673,0.005121096177238993,0.00302728002265118
17,3.1821650367853676,0.007838327910650644,0.006300581419059981,0.0029132360446197936
18,3.1424292590642224,0.0069583218939666125,0.0040148778330868495,0.004483672318382315
19,3.1348866505160577,0.008051039337112709,0.007007402383807371,0.0024870803817433895
20,3.1290072344237014,0.01214495118703196,0.007817182336109951,0.005929757534941071
21,3.109219249679421,0.015383061935378528,0.011450352979570422,0.005472310378634049
22,3.108551059952559,0.015261075222114062,0.012073582705061092,0.005076075431629246
23,3.112369959338309,0.016694348352045196,0.01318303128836229,0.0060557693364668985
24,3.07097243272489,0.022672773137812907,0.016389280823723595,0.00880854951913701
25,3.0826591862453396,0.02574830793463434,0.019660895223729824,0.009097299870585385
26,3.0773169649091807,0.03147788835306775,0.025286286588993345,0.011179933669904774
27,3.063214297947426,0.033529537314905156,0.026190311461488314,0.015096285069482906
28,3.063423067062846,0.03299963238819714,0.024620245015189113,0.01749805086257883
29,3.0390826315749333,0.04725069821673067,0.04248301522699771,0.014359887517513936
30,3.0501083189665676,0.047719259819125615,0.04304212082768588,0.013736442985753605
31,3.0196269387538086,0.04487109409503898,0.043199351926700214,0.019676768433196656
32,3.025921469981453,0.05052439522480867,0.04143392343500896,0.024942864153620015
33,3.043241629238062,0.0625385958825393,0.04808440089640609,0.033857222749595905
34,3.0131526550853267,0.0676181609385118,0.05916649508169547,0.03154163066363669
35,3.0220109033470317,0.06682872948347685,0.06233034126709214,0.029522231523196663
36,3.002264875736012,0.08537136925942557,0.06542412402313902,0.04581283777066547
37,2.9905411881668273,0.07147206646453874,0.07361012948020118,0.03862810139642958
38,3.007078168831363,0.0824236580936697,0.07604294670778966,0.05088578984789427
39,3.003416901953793,0.07790696336402814,0.0787319356681988,0.044448237556243164
40,2.994651909795211,0.0905448676164835,0.0936747600410297,0.04584226373488853
50,2.9788250392460935,0.14562760484278492,0.13820149853705965,0.07442717447474712
60,2.9685033245042733,0.17972633224302337,0.18744422782743486,0.09783434618192333
70,2.951200460974215,0.19852845470263114,0.22042791422796748,0.1559995771732008
80,2.9429437080562217,0.24923340085270862,0.3104273105068427,0.13533337475555607
90,2.9843449752379105,0.28740629589177047,0.330943203326584,0.20421099544844878
100,2.9912755932067094,0.315860190866569,0.3159952688521188,0.2218521674262255
110,2.970974581746251,0.28476835406578394,0.29719752774505315,0.17422983027583339
120,2.9434856134864837,0.31977173397788494,0.31312740525867433,0.17911861026209497
130,2.9452369039005037,0.3322193678111218,0.31306642906786886,0.16435143938138141
140,2.9661028919370644,0.32578140185409277,0.3022479362276256,0.15830093572430126
