Trigram,Original,Ablated,Direct Effect,Indirect Effect
en verwend,4.11070442199707,6.067806720733643,4.048784255981445,6.305466651916504
ptabel und,2.7628369331359863,4.337580680847168,3.11072039604187,4.289233684539795
re Beacht,4.56436014175415,6.6756157875061035,4.474695682525635,6.839982986450195
 empfunden,4.217825889587402,5.451408386230469,3.3878371715545654,6.745289325714111
 Amtszeit,3.4944446086883545,5.866716384887695,4.342206954956055,5.579427242279053
eltfreund,2.334775447845459,5.175845623016357,3.322495460510254,4.2187910079956055
chte Verwend,4.378106117248535,6.169369220733643,3.9657702445983887,6.66497802734375
fang der,3.9010801315307617,5.212853908538818,4.18766975402832,5.250699996948242
 vorsät,4.850916862487793,6.237551689147949,4.436887264251709,6.814507484436035
 zur Verwend,5.100147724151611,6.952024936676025,4.360282897949219,7.576240062713623
 Die nacht,3.9843358993530273,5.386085033416748,3.3411877155303955,6.132360935211182
en verdienen,1.7415640354156494,2.872746229171753,1.0598539113998413,3.904200315475464
er Verträ,3.5915191173553467,4.6115288734436035,2.1880059242248535,6.645122051239014
lich befür,2.1102893352508545,3.952207326889038,2.5046660900115967,3.770890951156616
änkt die,4.758847236633301,5.657284259796143,4.2009782791137695,6.352248191833496
iner geänder,3.867553234100342,4.382693290710449,2.048588275909424,6.5400071144104
lag für einen,4.344768047332764,5.177691459655762,3.9933907985687256,5.754944801330566
 den Unfall,4.486999034881592,6.758303165435791,4.829751014709473,6.810689449310303
te verwend,4.482086181640625,6.305812835693359,4.256088733673096,6.686075210571289
itsstät,5.592459678649902,6.306527137756348,4.592691421508789,7.703176021575928
ertschät,4.885443210601807,5.689390182495117,3.8328857421875,7.376307010650635
inn gemacht,1.4701616764068604,3.524453639984131,1.4062250852584839,3.945946216583252
re Verträ,2.5539300441741943,3.573704242706299,1.5339643955230713,5.197841644287109
lich gemacht,1.4143633842468262,3.4859020709991455,1.1701335906982422,4.082681655883789
ür heute,3.0333545207977295,5.468454360961914,4.524331092834473,4.3718390464782715
atz befür,2.012739896774292,3.882535696029663,2.545236110687256,3.581911325454712
ßen missacht,4.987706184387207,6.868463516235352,4.893097877502441,7.397219181060791
 Akteuren,4.073710918426514,5.210256099700928,3.657151699066162,6.1172661781311035
 überwacht,2.7796807289123535,4.659823417663574,1.9777194261550903,5.569789886474609
wissheit,5.79986047744751,7.064158916473389,4.854217052459717,8.423254013061523
 hinwe,3.0287935733795166,5.584197998046875,4.600679874420166,4.850058555603027
mgang der,6.064337253570557,7.861246585845947,6.284825801849365,7.598602771759033
dern sie die,4.476091384887695,5.6280436515808105,4.425335884094238,6.204681873321533
 Einsät,5.565633296966553,6.995869159698486,5.137674331665039,7.881467342376709
le gestär,5.503603458404541,7.409875392913818,4.900447845458984,8.24974250793457
 übermitteln,2.048523426055908,3.523259401321411,2.0269112586975098,3.897172451019287
chts gemacht,1.6987740993499756,3.9083926677703857,1.6079140901565552,4.3958282470703125
glich gemacht,2.220686197280884,4.201291561126709,1.6840370893478394,5.017545700073242
iter gestär,5.099931716918945,6.968694686889648,4.453665256500244,7.898609638214111
 November verwe,3.9256536960601807,5.5493388175964355,3.7108030319213867,5.887897968292236
ich veränder,3.950756549835205,5.408942699432373,2.5991711616516113,6.825993537902832
 der Verträ,2.8897597789764404,3.018221616744995,1.1767542362213135,5.441391944885254
 und gestär,5.39063835144043,7.277885437011719,4.631714820861816,8.19011116027832
 Eigen gemacht,2.757793426513672,5.369025230407715,2.8720898628234863,5.45535135269165
fskrä,2.0772829055786133,3.4826295375823975,1.8995064496994019,4.279199123382568
ung nacht,3.5102665424346924,5.167903900146484,3.2291228771209717,5.56981897354126
 zur Einricht,2.3837451934814453,3.958508253097534,1.538617491722107,5.240079879760742
 zur Erricht,5.390267372131348,7.68922233581543,5.189734935760498,7.890531063079834
gestellt worden,5.210944652557373,5.426497459411621,4.61941385269165,6.806063175201416
 und Anwend,3.7581584453582764,5.221773147583008,3.0628275871276855,6.113672733306885
enig beacht,4.565737724304199,7.341440200805664,5.217169761657715,7.115666389465332
t worden und,3.6585819721221924,4.728033542633057,3.598923921585083,5.597912311553955
terschät,4.598912239074707,6.886769771575928,4.230684757232666,7.447662353515625
 von Verträ,2.9544219970703125,3.9789485931396484,1.8057618141174316,5.543487548828125
 der nacht,3.3271431922912598,4.713768005371094,2.692936897277832,5.469244956970215
 nicht schwe,3.1632988452911377,5.4810471534729,3.177293300628662,5.754281997680664
ischen all dies,5.343624591827393,7.526394367218018,4.80776834487915,8.209625244140625
 der Einricht,3.155618190765381,5.267910003662109,2.618784189224243,6.25166654586792
azu verpf,4.272607803344727,5.505918025970459,3.982816457748413,6.43569803237915
 System verwend,3.07484769821167,4.860339641571045,2.8908493518829346,5.2137064933776855
chtsakt zu,5.562841892242432,7.400783538818359,4.511516094207764,8.58432388305664
 wir all dies,4.065094470977783,6.441624641418457,4.137157440185547,6.694484233856201
re Binnen,5.961796760559082,6.975943565368652,4.973060607910156,8.192307472229004
che Wirkl,0.744676947593689,1.7251455783843994,1.447621464729309,1.2273194789886475
 zu verschär,3.892594575881958,6.13990592956543,3.551668643951416,6.3164963722229
 anspricht,3.804187536239624,5.390560150146484,2.087944746017456,7.500124454498291
beitswe,3.6210930347442627,5.076015472412109,3.0336029529571533,5.737617015838623
iger verdienen,2.2793633937835693,3.4520106315612793,1.5205258131027222,4.4650468826293945
ter gemacht,2.353205680847168,4.642305850982666,2.0526866912841797,5.182360649108887
 Gut gemacht,2.236274003982544,4.243336200714111,1.6156573295593262,5.09346866607666
